date_operation,libelle,debit,credit
2023-06-22,CARTE XX XX XX XX XX,-7.12,
2023-06-21,CARTE XX XX XX XX,-2.72,
2023-06-20,CARTE XX XX VELOC XX XX,-29.00,
2023-06-20,CARTE XX XX L'EPICERIE DEMBAS XX XX,-10.05,
2023-06-19,CARTE XX XX XX XX XX XX,-2.40,
2023-06-19,CARTE XX XX XX XX XX,-10.20,
2023-06-19,CARTE XX XX XX XX,-18.24,
2023-06-19,CARTE XX XX LA LOUVE XX XX,-18.45,
2023-06-19,CARTE XX XX LES ANCIENS ROBINSON XX,-9.31,
2023-06-16,CARTE XX XX XX XX XX,-8.00,
2023-06-16,CARTE XX XX LES ANCIENS ROBINSON XX,-4.39,
2023-06-15,CARTE XX XX XX XX XX,-19.20,
2023-06-15,CARTE XX XX XX XX XX XX XX,-15.99,
2023-06-15,VIREMENT PERMANENT LOYER,-345.00,
2023-06-13,CARTE XX XX XX XX XX XX,-7.99,
2023-06-12,CARTE XX XX TOUPTIPRI XX,-2.51,
2023-06-12,CARTE XX XX LES ANCIENS ROBINSON XX,-4.63,
2023-06-12,CARTE XX XX TOUPTIPRI XX,-5.88,
2023-06-12,CARTE XX XX XX XX XX XX,-2.32,
2023-06-12,CARTE XX XX LES ANCIENS ROBINSON XX,-26.58,
2023-06-12,CARTE XX XX CHEZ LUC XX,-9.20,
2023-06-07,PRELEVEMENT XX TELEPHONE XX XX,-6.38,
2023-06-06,CARTE XX XX XX XX,-5.10,
2023-06-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.84,
2023-06-06,CARTE XX XX XX XX,-14.39,
2023-06-06,CARTE XX XX XX XX XX XX,-10.40,
2023-06-06,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,,676.00
2023-06-06,CARTE XX XX XX XX XX,-20.40,
2023-06-02,CARTE XX XX RAPT XX,-73.00,
2023-05-31,CARTE XX XX CHEZ LUC XX,-7.74,
2023-05-31,CARTE XX XX LES ANCIENS ROBINSON XX,-6.89,
2023-05-31,DON XX XX XX XX XX XX XX,-1.44,
2023-05-31,XX XX VIREMENT XX XX XX,-36.00,
2023-05-29,RETRAIT XX XX XX,-48.00,
2023-05-29,CARTE XX XX XX XX XX,-14.16,
2023-05-29,CARTE XX XX LES ANCIENS ROBINSON XX,-22.59,
2023-05-24,CARTE XX XX XX XX XX,-7.84,
2023-05-24,CARTE XX XX L'EPICERIE DEMBAS XX XX,-15.81,
2023-05-23,CARTE XX XX XX XX,-3.20,
2023-05-23,CARTE XX XX LES ANCIENS ROBINSON XX,-4.41,
2023-05-22,CARTE XX XX CHEZ LUC XX,-11.40,
2023-05-22,RETRAIT XX XX XX,-32.00,
2023-05-22,CARTE XX XX XX XX XX XX,-2.40,
2023-05-22,CARTE XX XX XX XX XX XX,-9.72,
2023-05-22,VIREMENT XX XX XX XX XX XX XX,,936.32
2023-05-22,CARTE XX XX LA CCNCF XX XX,-138.24,
2023-05-19,CARTE XX XX XX XX,-12.00,
2023-05-18,CARTE XX XX XX XX XX,-1.60,
2023-05-15,VIREMENT PERMANENT LOYER,-345.00,
2023-05-15,CARTE XX XX LES ANCIENS ROBINSON XX,-33.55,
2023-05-15,CARTE XX XX CHEZ LUC XX,-11.00,
2023-05-15,CARTE XX XX TOUPTIPRI XX,-12.96,
2023-05-15,CARTE XX XX XX XX XX XX,-8.00,
2023-05-12,CARTE XX XX XX XX,-5.60,
2023-05-11,CARTE XX XX XX XX XX,-1.60,
2023-05-10,CARTE XX XX CHEZ LUC XX,-9.60,
2023-05-10,CARTE XX XX LES ANCIENS ROBINSON XX,-42.45,
2023-05-09,PRELEVEMENT XX TELEPHONE XX XX,-7.02,
2023-05-09,CARTE XX XX XX XX,-1.60,
2023-05-09,CARTE XX XX XX XX,-1.12,
2023-05-09,CARTE XX XX XX XX,-1.44,
2023-05-09,CARTE XX XX XX XX XX,-32.00,
2023-05-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.84,
2023-05-05,CARTE XX XX TOUPTIPRI XX,-3.48,
2023-05-04,CARTE XX XX LES ANCIENS ROBINSON XX,-17.16,
2023-05-04,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,,676.00
2023-05-03,CARTE XX XX RAPT XX,-73.00,
2023-05-03,CARTE XX XX XX XX,-14.39,
2023-05-02,CARTE XX XX TOUPTIPRI XX,-12.24,
2023-05-02,VIREMENT XX XX XX XX XX XX XX,,47.20
2023-05-02,CARTE XX XX XX XX XX XX,-8.48,
2023-05-02,CARTE XX XX XX XX XX,-16.70,
2023-05-02,CARTE XX XX XX XX XX XX,-10.40,
2023-05-02,RETRAIT XX XX XX,-32.00,
2023-04-30,XX XX VIREMENT XX XX XX,-36.00,
2023-04-28,CARTE XX XX LES ANCIENS ROBINSON XX,-9.11,
2023-04-28,DON XX XX XX XX XX XX XX,-1.40,
2023-04-26,CARTE XX XX XX XX XX XX,-10.00,
2023-04-26,CARTE XX XX LA LOUVE XX XX,-1.90,
2023-04-25,CARTE XX XX LES ANCIENS ROBINSON XX,-32.67,
2023-04-24,CARTE XX XX XX XX XX,-7.84,
2023-04-24,CARTE XX XX XX XX,-11.64,
2023-04-24,CARTE XX XX CHEZ LUC XX,-9.20,
2023-04-21,CARTE XX XX L'EPICERIE DEMBAS XX XX,-10.43,
2023-04-20,CARTE XX XX XX XX,-7.20,
2023-04-19,CARTE XX XX XX XX XX,-13.60,
2023-04-18,VIREMENT XX XX XX XX XX XX,,1.60
2023-04-18,CARTE XX XX XX XX XX,-10.32,
2023-04-18,CARTE XX XX XX XX XX,-8.72,
2023-04-18,RETRAIT XX XX XX,-24.00,
2023-04-18,CARTE XX XX XX XX,-74.58,
2023-04-18,CARTE XX XX VELOC XX XX,-1.70,
2023-04-15,VIREMENT PERMANENT LOYER,-345.00,
2023-04-14,CARTE XX XX XX XX XX,-1.60,
2023-04-14,CARTE XX XX CHEZ LUC XX,-8.80,
2023-04-14,CARTE XX XX XX XX XX,-0.80,
2023-04-13,XX XX XX XX XX XX XX,-280.00,
2023-04-12,CARTE XX XX XX XX XX,-28.96,
2023-04-11,VIREMENT XX XX XX XX XX XX XX,,836.00
2023-04-11,CARTE XX XX XX XX XX,-7.56,
2023-04-11,VIREMENT XX XX XX XX XX XX XX,,869.44
2023-04-11,CARTE XX XX XX XX,-48.00,
2023-04-10,CARTE XX XX XX XX XX,-24.00,
2023-04-10,VIREMENT XX XX XX XX XX XX,,1.60
2023-04-10,CARTE XX XX XX XX,-84.40,
2023-04-10,CARTE XX XX CHEZ LUC XX,-12.42,
2023-04-10,CARTE XX XX XX XX XX XX,-6.00,
2023-04-10,CARTE XX XX XX XX XX,-20.64,
2023-04-10,CARTE XX XX XX XX XX XX XX XX XX XX,-1.60,
2023-04-10,CARTE XX XX LES ANCIENS ROBINSON XX,-42.42,
2023-04-10,CARTE XX XX VELOC XX XX,-2.70,
2023-04-07,VIREMENT XX XX XX XX XX XX XX XX XX XX,,992.80
2023-04-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.84,
2023-04-05,CARTE XX XX XX XX XX,-15.20,
2023-04-05,CARTE XX XX XX XX,-12.00,
2023-04-05,PRELEVEMENT XX TELEPHONE XX XX,-7.02,
2023-04-05,CARTE XX XX LES ANCIENS ROBINSON XX,-6.80,
2023-04-03,CARTE XX XX RAPT XX,-24.00,
2023-04-03,CARTE XX XX RAPT XX,-73.00,
2023-04-03,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,,676.00
2023-04-03,VIREMENT XX XX XX XX XX XX,,4.80
2023-04-03,CARTE XX XX XX XX,-14.39,
2023-03-31,DON XX XX XX XX XX XX XX,-1.44,
